File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1101
Injection Number	2
Position	112
Comment	3M DP6330 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/2/2026
Injection Time	2:37:40 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000705
Time Max. (min)	60.006783
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	505,933.884412
Signal Max.	1,974,547,537.296650
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.548212	0.2041	1,375,342.750143
4.551613	0.2041	1,405,730.281374
4.555013	0.204	1,418,742.439514
4.558415	0.2041	1,491,403.710488
4.561817	0.2041	1,500,626.925138
4.565218	0.2041	1,529,609.132532
4.568618	0.204	1,541,184.181543
4.572020	0.2041	1,503,691.109067
4.575422	0.2041	1,533,405.144156
4.578822	0.204	1,570,545.925028
4.582223	0.2041	1,565,337.542671
4.585625	0.2041	1,594,069.739208
4.589025	0.204	1,568,274.345808
4.592427	0.2041	1,543,730.674942
4.595828	0.2041	1,540,032.036783
4.599228	0.204	1,500,353.835971
4.602630	0.2041	1,545,515.464716
4.606032	0.2041	1,541,352.488593
4.609432	0.204	1,509,884.475234
4.612833	0.2041	1,515,259.339643
4.616235	0.2041	1,473,248.564772
4.619635	0.204	1,457,540.924962
4.623037	0.2041	1,498,504.927001
4.626438	0.2041	1,480,943.623521
4.629838	0.204	1,443,670.431896
4.633240	0.2041	1,492,983.006142
4.636642	0.2041	1,479,234.776875
4.640042	0.204	1,429,240.959374
4.643443	0.2041	1,505,940.453595
4.646845	0.2041	1,560,749.976213
4.650245	0.204	1,563,608.470394
4.653647	0.2041	1,608,384.970643
4.657048	0.2041	1,663,176.570411
4.660448	0.204	1,822,340.063015
4.663850	0.2041	1,961,583.780069
4.667252	0.2041	2,055,937.631166
4.670652	0.204	2,189,867.888071
4.674053	0.2041	2,282,592.547151
4.677455	0.2041	2,422,339.289727
4.680855	0.204	2,526,905.660410
4.684257	0.2041	2,577,401.152960
4.687658	0.2041	2,601,166.619406
4.691058	0.204	2,630,712.213350
4.694460	0.2041	2,743,661.972951
4.697862	0.2041	2,741,033.734343
4.701262	0.204	2,604,627.039129
4.704663	0.2041	2,559,601.718867
4.708065	0.2041	2,499,172.200077
4.711465	0.204	2,428,263.270001
4.714867	0.2041	2,339,206.769555
4.718268	0.2041	2,205,401.255000
4.721668	0.204	2,203,450.748215
4.725070	0.2041	2,148,178.507871
4.728472	0.2041	1,969,816.407975
4.731872	0.204	1,864,544.261959
4.735273	0.2041	1,787,721.885489
4.738675	0.2041	1,668,181.635842
4.742075	0.204	1,651,442.830670
4.745477	0.2041	1,636,147.167576
4.748878	0.2041	1,557,282.459111
4.752278	0.204	1,568,235.661004
4.755680	0.2041	1,608,288.273439
4.759082	0.2041	1,572,372.482861
4.762482	0.204	1,531,284.140807
4.765883	0.2041	1,553,694.748411
4.769285	0.2041	1,532,872.934331
4.772685	0.204	1,503,726.042795
4.776087	0.2041	1,589,807.841328
4.779488	0.2041	1,627,658.105753
4.782888	0.204	1,586,813.854691
4.786290	0.2041	1,610,162.576233
4.789692	0.2041	1,572,940.933472
4.793092	0.204	1,580,819.470848
4.796493	0.2041	1,705,530.532301
4.799895	0.2041	1,741,333.929478
4.803295	0.204	1,780,971.741763
4.806697	0.2041	1,874,421.499952
4.810098	0.2041	1,920,790.412621
4.813498	0.204	1,924,153.149885
4.816900	0.2041	1,972,190.022081
4.820302	0.2041	2,012,991.134011
4.823702	0.204	2,030,026.752120
4.827103	0.2041	1,995,434.374143
4.830505	0.2041	1,773,634.246460
4.833905	0.204	1,629,833.131128
4.837307	0.2041	1,635,464.271625
4.840708	0.2041	1,621,189.507157
4.844108	0.204	1,584,764.925857
4.847510	0.2041	1,541,873.754483
4.850912	0.2041	1,486,288.941010
4.854312	0.204	1,429,328.160631
4.857713	0.2041	1,455,562.724441
4.861115	0.2041	1,449,475.009559
4.864515	0.204	1,431,782.898496
4.867917	0.2041	1,461,340.485519
4.871318	0.2041	1,508,209.089540
4.874718	0.204	1,511,821.900521
4.878120	0.2041	1,518,932.045344
4.881522	0.2041	1,558,324.538762
4.884922	0.204	1,459,061.587741
4.888323	0.2041	1,440,763.660514
4.891725	0.2041	1,509,341.628706
4.895125	0.204	1,485,426.547332
4.898527	0.2041	1,460,198.386465
4.901928	0.2041	1,434,668.596392
4.905328	0.204	1,399,284.992365
4.908730	0.2041	1,417,755.160643
4.912132	0.2041	1,412,816.161456
4.915532	0.204	1,413,029.099497
4.918933	0.2041	1,467,275.457691
4.922335	0.2041	1,471,718.724044
4.925735	0.204	1,461,777.285894
4.929137	0.2041	1,425,514.148046
4.932538	0.2041	1,407,684.387789
4.935938	0.204	1,432,353.578016
4.939340	0.2041	1,391,780.740108
4.942742	0.2041	1,377,732.603640
4.946142	0.204	1,394,899.174953
4.949543	0.2041	1,376,935.133035
4.952945	0.2041	1,359,212.707496
4.956345	0.204	1,347,293.142424
4.959747	0.2041	1,368,495.921184
4.963148	0.2041	1,381,879.415496
4.966548	0.204	1,355,200.096918
4.969950	0.2041	1,345,909.704977
4.973352	0.2041	1,369,138.218028
4.976752	0.204	1,371,878.203909
4.980153	0.2041	1,322,575.080190
4.983555	0.2041	1,338,526.950102
4.986955	0.204	1,393,528.745993
4.990357	0.2041	1,377,516.564897
4.993758	0.2041	1,380,220.054681
4.997158	0.204	1,399,348.890981
5.000560	0.2041	1,418,586.823012
5.003962	0.2041	1,490,566.228756
5.007362	0.204	1,520,451.993741
5.010763	0.2041	1,501,132.082412
5.014165	0.2041	1,504,142.069720
5.017565	0.204	1,520,990.400917
5.020967	0.2041	1,551,282.976796
5.024368	0.2041	1,602,090.695934
5.027768	0.204	1,606,576.239249
5.031170	0.2041	1,512,235.464469
5.034572	0.2041	1,503,919.499681
5.037972	0.204	1,500,686.016482
5.041373	0.2041	1,518,287.631767
5.044775	0.2041	1,522,782.438093
5.048175	0.204	1,407,237.756726
5.051577	0.2041	1,385,335.482814
5.054978	0.2041	1,420,638.928230
5.058378	0.204	1,436,078.939862
5.061780	0.2041	1,411,458.184291
5.065182	0.2041	1,419,257.235252
5.068582	0.204	1,436,756.785968
5.071983	0.2041	1,361,823.839007
5.075385	0.2041	1,358,779.160353
5.078785	0.204	1,418,051.011823
5.082187	0.2041	1,400,549.164873
5.085588	0.2041	1,408,248.008343
5.088988	0.204	1,407,095.124532
5.092390	0.2041	1,317,686.872827
5.095792	0.2041	1,333,996.302441
5.099192	0.204	1,366,647.147751
5.102593	0.2041	1,374,152.802253
5.105995	0.2041	1,386,875.686194
5.109395	0.204	1,349,280.354446
5.112797	0.2041	1,354,965.104128
5.116198	0.2041	1,373,558.244751
5.119598	0.204	1,360,294.257783
5.123000	0.2041	1,404,515.734625
5.126402	0.2041	1,475,342.096961
5.129802	0.204	1,441,820.369006
5.133203	0.2041	1,419,875.082774
5.136605	0.2041	1,480,140.239160
5.140005	0.204	1,481,873.360608
5.143407	0.2041	1,512,950.895079
5.146808	0.2041	1,587,735.325091
5.150208	0.204	1,575,531.797297
5.153610	0.2041	1,586,640.221921
5.157012	0.2041	1,587,496.681142
5.160412	0.204	1,511,810.864871
5.163813	0.2041	1,472,348.132683
5.167215	0.2041	1,462,289.206800
5.170615	0.204	1,418,581.568249
5.174017	0.2041	1,363,876.687546
5.177418	0.2041	1,376,059.298236
5.180818	0.204	1,411,159.323353
5.184220	0.2041	1,321,046.616442
5.187622	0.2041	1,270,100.927272
5.191022	0.204	1,374,577.566230
5.194423	0.2041	1,439,247.513270
5.197825	0.2041	1,441,297.019874
5.201225	0.204	1,499,743.138786
5.204627	0.2041	1,623,291.092473
5.208028	0.2041	1,884,361.634850
5.211428	0.204	2,766,657.379034
5.214830	0.2041	5,114,079.750063
5.218232	0.2041	10,868,622.316622
5.221633	0.2041	24,124,216.880909
