File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_9727
Injection Number	14
Position	124
Comment	Terroson EP 6055 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	3:44:16 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000582
Time Max. (min)	60.006660
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	494,855.303040
Signal Max.	2,338,824,082.435260
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.031120	0.2041	723,167.830064
4.034520	0.204	732,365.348662
4.037922	0.2041	696,906.151879
4.041323	0.2041	716,184.550249
4.044723	0.204	713,521.112448
4.048125	0.2041	661,635.997713
4.051527	0.2041	676,399.740540
4.054927	0.204	684,815.478701
4.058328	0.2041	719,429.984629
4.061730	0.2041	728,361.967365
4.065130	0.204	687,156.852509
4.068532	0.2041	717,062.304676
4.071933	0.2041	747,556.148490
4.075333	0.204	731,249.877144
4.078735	0.2041	725,766.914711
4.082137	0.2041	728,583.699791
4.085538	0.2041	699,965.027609
4.088938	0.204	707,910.876323
4.092340	0.2041	715,941.181826
4.095742	0.2041	710,066.097491
4.099142	0.204	728,542.885779
4.102543	0.2041	696,059.320423
4.105945	0.2041	667,138.942321
4.109345	0.204	683,067.352297
4.112747	0.2041	686,490.472130
4.116148	0.2041	676,793.701128
4.119548	0.204	663,492.095287
4.122950	0.2041	636,688.907424
4.126352	0.2041	666,975.610603
4.129752	0.204	696,609.083706
4.133153	0.2041	637,524.929664
4.136555	0.2041	602,137.108950
4.139955	0.204	571,695.146002
4.143357	0.2041	544,035.500435
4.146758	0.2041	590,587.651591
4.150158	0.204	587,227.067087
4.153560	0.2041	561,244.862424
4.156962	0.2041	569,903.644410
4.160362	0.204	558,654.235875
4.163763	0.2041	549,364.635853
4.167165	0.2041	547,366.819512
4.170565	0.204	547,049.877696
4.173967	0.2041	539,841.221686
4.177368	0.2041	538,551.607775
4.180768	0.204	529,142.196542
4.184170	0.2041	534,901.247421
4.187572	0.2041	584,143.079582
4.190972	0.204	581,493.604813
4.194373	0.2041	552,823.569341
4.197775	0.2041	568,040.554548
4.201175	0.204	563,373.980741
4.204577	0.2041	553,730.329314
4.207978	0.2041	556,514.962615
4.211378	0.204	530,350.271522
4.214780	0.2041	554,937.916451
4.218182	0.2041	586,403.804451
4.221582	0.204	593,344.348908
4.224983	0.2041	581,120.887302
4.228385	0.2041	527,766.534952
4.231785	0.204	536,285.246361
4.235187	0.2041	564,036.463989
4.238588	0.2041	568,143.481368
4.241988	0.204	557,069.368519
4.245390	0.2041	532,796.786865
4.248792	0.2041	558,613.156302
4.252192	0.204	564,341.842727
4.255593	0.2041	532,892.879701
4.258995	0.2041	546,245.357340
4.262395	0.204	544,480.079455
4.265797	0.2041	551,727.604273
4.269198	0.2041	570,601.021926
4.272598	0.204	525,754.224590
4.276000	0.2041	500,802.206462
4.279402	0.2041	545,634.919891
4.282802	0.204	617,460.103605
4.286203	0.2041	658,558.645487
4.289605	0.2041	629,679.136220
4.293005	0.204	575,949.700770
4.296407	0.2041	595,751.146753
4.299808	0.2041	640,178.223754
4.303208	0.204	680,200.372362
4.306610	0.2041	737,020.165780
4.310012	0.2041	780,977.552492
4.313412	0.204	821,472.750486
4.316813	0.2041	905,142.386414
4.320215	0.2041	994,172.516998
4.323615	0.204	1,035,469.466103
4.327017	0.2041	1,098,327.607661
4.330418	0.2041	1,172,095.337296
4.333818	0.204	1,199,434.529745
4.337220	0.2041	1,228,371.316655
4.340622	0.2041	1,271,340.893371
4.344022	0.204	1,313,482.318487
4.347423	0.2041	1,338,639.868213
4.350825	0.2041	1,330,866.768576
4.354225	0.204	1,342,231.625650
4.357627	0.2041	1,334,555.815476
4.361028	0.2041	1,287,642.241216
4.364428	0.204	1,308,813.075254
4.367830	0.2041	1,307,766.767961
4.371232	0.2041	1,254,024.363194
4.374632	0.204	1,240,318.769460
4.378033	0.2041	1,195,073.723148
4.381435	0.2041	1,156,894.632931
4.384835	0.204	1,164,022.232930
4.388237	0.2041	1,105,494.699280
4.391638	0.2041	1,043,426.553348
4.395038	0.204	997,048.300604
4.398440	0.2041	961,057.361903
4.401842	0.2041	963,840.476972
4.405242	0.204	957,476.071896
4.408643	0.2041	944,910.198315
4.412045	0.2041	936,431.983325
4.415445	0.204	986,399.948430
4.418847	0.2041	1,000,364.136245
4.422248	0.2041	989,439.036957
4.425648	0.204	1,034,727.813042
4.429050	0.2041	1,031,895.589956
4.432452	0.2041	1,000,947.255166
4.435852	0.204	958,025.242300
4.439253	0.2041	954,610.958866
4.442655	0.2041	995,980.593111
4.446055	0.204	995,441.100849
4.449457	0.2041	1,002,286.106214
4.452858	0.2041	981,273.070242
4.456258	0.204	1,021,794.098508
4.459660	0.2041	1,058,633.715656
4.463062	0.2041	985,838.381022
4.466462	0.204	981,034.043016
4.469863	0.2041	997,257.491527
4.473265	0.2041	1,004,389.539846
4.476665	0.204	1,036,939.037233
4.480067	0.2041	1,031,244.134124
4.483468	0.2041	1,044,673.270506
4.486868	0.204	1,041,040.135852
4.490270	0.2041	1,042,489.325816
4.493672	0.2041	1,074,508.646572
4.497072	0.204	1,057,294.992896
4.500473	0.2041	1,011,014.176877
4.503875	0.2041	1,012,167.704237
4.507275	0.204	1,084,703.172559
4.510677	0.2041	1,096,306.518592
4.514078	0.2041	1,070,897.884628
4.517478	0.204	1,124,103.981334
4.520880	0.2041	1,141,981.171275
4.524282	0.2041	1,168,688.848367
4.527682	0.204	1,223,612.528221
4.531083	0.2041	1,262,102.883502
4.534485	0.2041	1,272,434.740872
4.537885	0.204	1,282,936.902115
4.541287	0.2041	1,280,957.680272
4.544688	0.2041	1,245,697.649566
4.548088	0.204	1,303,182.296768
4.551490	0.2041	1,403,113.695624
4.554892	0.2041	1,382,900.004633
4.558292	0.204	1,345,529.895964
4.561693	0.2041	1,398,013.100661
4.565095	0.2041	1,432,444.349248
4.568495	0.204	1,438,442.226649
4.571897	0.2041	1,474,439.868671
4.575298	0.2041	1,497,481.428507
4.578698	0.204	1,474,470.737561
4.582100	0.2041	1,426,399.824439
4.585502	0.2041	1,411,603.343797
4.588902	0.204	1,409,245.331358
4.592303	0.2041	1,400,959.396364
4.595705	0.2041	1,381,568.300248
4.599105	0.204	1,360,795.556043
4.602507	0.2041	1,376,290.328038
4.605908	0.2041	1,389,432.493281
4.609308	0.204	1,382,391.864390
4.612710	0.2041	1,361,254.672852
4.616112	0.2041	1,361,537.339945
4.619512	0.204	1,367,406.379412
4.622913	0.2041	1,305,120.544557
4.626315	0.2041	1,265,546.838079
4.629715	0.204	1,312,757.698885
4.633117	0.2041	1,359,119.017239
4.636518	0.2041	1,385,416.738607
4.639918	0.204	1,421,982.111863
4.643320	0.2041	1,403,148.672115
4.646722	0.2041	1,343,858.751872
4.650122	0.204	1,343,422.065827
4.653523	0.2041	1,413,997.332867
4.656925	0.2041	1,504,929.766986
4.660325	0.204	1,567,243.178338
4.663727	0.2041	1,610,718.039120
4.667128	0.2041	1,640,078.986320
4.670528	0.204	1,661,089.718859
4.673930	0.2041	1,670,650.219278
4.677332	0.2041	1,673,677.901343
4.680732	0.204	1,676,006.019161
4.684133	0.2041	1,712,270.531941
4.687535	0.2041	1,720,888.799709
4.690935	0.204	1,731,658.237688
4.694337	0.2041	1,827,257.646792
4.697738	0.2041	1,863,493.399903
4.701138	0.204	1,811,638.048447
4.704540	0.2041	1,907,779.111812
4.707942	0.2041	2,019,128.003615
4.711342	0.204	1,918,871.342615
4.714743	0.2041	1,804,990.316446
4.718145	0.2041	1,750,779.625303
4.721545	0.204	1,647,437.700738
4.724947	0.2041	1,493,344.102419
4.728348	0.2041	1,425,590.252586
4.731748	0.204	1,419,558.336683
4.735150	0.2041	1,390,961.321131
4.738552	0.2041	1,363,035.997726
4.741952	0.204	1,338,549.468913
4.745353	0.2041	1,368,100.829649
4.748755	0.2041	1,379,611.519183
4.752157	0.2041	1,403,859.905890
4.755557	0.204	1,431,880.652268
4.758958	0.2041	1,425,415.127633
4.762360	0.2041	1,503,140.111541
4.765760	0.204	1,581,646.324191
4.769162	0.2041	1,600,963.193819
4.772563	0.2041	1,649,651.477967
4.775963	0.204	1,688,585.698185
4.779365	0.2041	1,635,948.555101
4.782767	0.2041	1,644,081.017518
4.786167	0.204	1,707,851.301106
4.789568	0.2041	1,666,363.886565
4.792970	0.2041	1,649,168.181356
4.796370	0.204	1,646,319.409101
4.799772	0.2041	1,623,067.808880
4.803173	0.2041	1,677,625.469776
4.806573	0.204	1,656,142.387511
4.809975	0.2041	1,588,436.109083
4.813377	0.2041	1,551,224.236482
4.816777	0.204	1,507,322.935674
4.820178	0.2041	1,524,115.669410
4.823580	0.2041	1,531,113.138551
4.826980	0.204	1,487,385.846074
4.830382	0.2041	1,394,254.459844
4.833783	0.2041	1,382,410.123963
4.837183	0.204	1,436,539.542570
4.840585	0.2041	1,437,633.324785
4.843987	0.2041	1,419,361.230969
4.847387	0.204	1,339,862.791386
4.850788	0.2041	1,297,910.982851
4.854190	0.2041	1,357,870.789094
4.857590	0.204	1,356,928.313546
4.860992	0.2041	1,367,394.915136
4.864393	0.2041	1,397,336.449908
4.867793	0.204	1,388,379.568228
4.871195	0.2041	1,434,484.058662
4.874597	0.2041	1,447,327.150973
4.877997	0.204	1,403,243.074492
4.881398	0.2041	1,397,784.662156
4.884800	0.2041	1,373,894.633595
4.888200	0.204	1,369,429.967770
4.891602	0.2041	1,338,451.449149
4.895003	0.2041	1,260,728.593077
4.898403	0.204	1,337,663.685918
4.901805	0.2041	1,367,908.752501
4.905207	0.2041	1,308,226.730666
4.908607	0.204	1,343,455.629831
4.912008	0.2041	1,317,246.281132
4.915410	0.2041	1,301,232.848042
4.918810	0.204	1,338,893.779410
4.922212	0.2041	1,301,984.919063
4.925613	0.2041	1,260,247.465929
4.929013	0.204	1,298,899.684921
4.932415	0.2041	1,276,990.545151
4.935817	0.2041	1,234,542.121217
4.939217	0.204	1,275,217.032904
4.942618	0.2041	1,292,586.025313
4.946020	0.2041	1,283,014.530158
4.949420	0.204	1,250,054.578976
4.952822	0.2041	1,254,905.858495
4.956223	0.2041	1,253,748.647192
4.959623	0.204	1,195,747.945602
4.963025	0.2041	1,211,502.536271
4.966427	0.2041	1,265,659.232787
4.969827	0.204	1,279,604.466018
4.973228	0.2041	1,276,182.901613
4.976630	0.2041	1,283,141.354975
4.980030	0.204	1,343,088.578473
4.983432	0.2041	1,340,630.133111
4.986833	0.2041	1,276,758.714418
4.990233	0.204	1,306,924.839255
4.993635	0.2041	1,321,899.054596
4.997037	0.2041	1,301,271.424326
5.000437	0.204	1,342,753.356748
5.003838	0.2041	1,346,605.457706
5.007240	0.2041	1,415,343.987207
5.010640	0.204	1,520,823.013465
5.014042	0.2041	1,482,654.267919
5.017443	0.2041	1,482,509.755131
5.020843	0.204	1,479,442.314538
5.024245	0.2041	1,437,722.084087
5.027647	0.2041	1,500,576.260442
5.031047	0.204	1,481,618.218374
5.034448	0.2041	1,430,616.204305
5.037850	0.2041	1,456,500.770221
5.041250	0.204	1,421,389.367632
5.044652	0.2041	1,365,390.601291
5.048053	0.2041	1,347,264.865697
5.051453	0.204	1,340,930.634743
5.054855	0.2041	1,346,997.944618
5.058257	0.2041	1,337,837.084390
5.061657	0.204	1,299,277.042798
5.065058	0.2041	1,285,746.625471
5.068460	0.2041	1,279,045.718996
5.071860	0.204	1,235,939.260435
5.075262	0.2041	1,223,425.883107
5.078663	0.2041	1,241,655.169765
5.082063	0.204	1,242,293.789729
5.085465	0.2041	1,251,224.822867
5.088867	0.2041	1,302,982.707657
5.092267	0.204	1,283,021.821120
5.095668	0.2041	1,184,418.031219
5.099070	0.2041	1,188,914.987370
5.102470	0.204	1,289,443.701440
5.105872	0.2041	1,295,870.905114
5.109273	0.2041	1,244,722.081491
5.112673	0.204	1,259,533.934522
5.116075	0.2041	1,284,859.783022
5.119477	0.2041	1,344,971.104777
5.122877	0.204	1,348,562.380466
5.126278	0.2041	1,302,393.651683
5.129680	0.2041	1,311,498.753556
5.133080	0.204	1,287,749.842263
5.136482	0.2041	1,279,610.135513
5.139883	0.2041	1,298,764.348128
5.143283	0.204	1,283,614.008393
5.146685	0.2041	1,312,550.703729
5.150087	0.2041	1,330,353.828731
5.153487	0.204	1,287,428.067795
5.156888	0.2041	1,316,460.960831
5.160290	0.2041	1,282,772.295500
5.163690	0.204	1,240,484.691151
5.167092	0.2041	1,287,385.050391
5.170493	0.2041	1,282,207.405619
5.173893	0.204	1,262,599.763435
5.177295	0.2041	1,243,092.383515
5.180697	0.2041	1,245,496.248940
5.184097	0.204	1,315,389.870383
5.187498	0.2041	1,364,137.680947
5.190900	0.2041	1,418,172.713964
5.194300	0.204	1,505,110.568974
5.197702	0.2041	1,607,248.147673
5.201103	0.2041	1,758,738.949181
5.204503	0.204	1,945,970.069305
5.207905	0.2041	2,230,159.748762
5.211307	0.2041	2,527,604.035934
5.214707	0.204	2,793,095.653011
5.218108	0.2041	3,257,626.980218
5.221510	0.2041	4,057,231.866492
