File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1104
Injection Number	47
Position	157
Comment	Lord 8525 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	6:54:54 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000687
Time Max. (min)	59.999998
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,938,960.296366
Signal Max.	12,298,880,864.641700
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.140062	0.2041	2,115,865.653279
4.143463	0.2041	2,035,838.170347
4.146863	0.204	1,938,960.296366
4.150265	0.2041	1,982,249.913626
4.153667	0.2041	2,036,253.846771
4.157067	0.204	2,102,825.849749
4.160468	0.2041	2,128,462.514782
4.163870	0.2041	2,093,110.549654
4.167270	0.204	2,067,682.948544
4.170672	0.2041	2,063,344.503296
4.174073	0.2041	2,033,636.744950
4.177473	0.204	1,997,750.157924
4.180875	0.2041	2,020,602.106391
4.184277	0.2041	2,033,108.319173
4.187677	0.204	1,980,279.542914
4.191078	0.2041	1,991,832.299651
4.194480	0.2041	2,031,794.631603
4.197880	0.204	2,017,149.293170
4.201282	0.2041	2,047,509.870064
4.204683	0.2041	2,027,231.585081
4.208083	0.204	1,982,255.098622
4.211485	0.2041	2,007,315.937329
4.214887	0.2041	2,058,332.121173
4.218287	0.204	2,098,208.010074
4.221688	0.2041	2,024,032.871213
4.225090	0.2041	1,962,334.773626
4.228490	0.204	1,948,722.876489
4.231892	0.2041	1,973,052.950162
4.235293	0.2041	2,046,090.123237
4.238693	0.204	2,008,247.568306
4.242095	0.2041	1,954,610.495409
4.245497	0.2041	2,009,203.374918
4.248897	0.204	2,033,694.066133
4.252298	0.2041	2,020,659.174113
4.255700	0.2041	1,993,366.443485
4.259100	0.204	1,995,352.174985
4.262502	0.2041	2,067,338.471295
4.265903	0.2041	2,090,113.357389
4.269303	0.204	2,146,429.355868
4.272705	0.2041	2,287,353.110274
4.276107	0.2041	2,400,776.306984
4.279507	0.204	2,648,375.601576
4.282908	0.2041	2,892,626.873349
4.286310	0.2041	2,994,873.663815
4.289710	0.204	3,253,685.035382
4.293112	0.2041	3,620,746.177404
4.296513	0.2041	3,861,838.672709
4.299913	0.204	3,988,479.492469
4.303315	0.2041	4,118,431.789608
4.306717	0.2041	4,337,674.971997
4.310117	0.204	4,456,537.172259
4.313518	0.2041	4,399,336.860447
4.316920	0.2041	4,389,888.651653
4.320320	0.204	4,386,619.791378
4.323722	0.2041	4,382,890.670724
4.327123	0.2041	4,466,368.311579
4.330523	0.204	4,397,685.204528
4.333925	0.2041	4,357,368.004949
4.337327	0.2041	4,348,082.723772
4.340727	0.204	4,128,374.757768
4.344128	0.2041	3,989,233.682478
4.347530	0.2041	4,029,156.778270
4.350930	0.204	3,922,160.115088
4.354332	0.2041	3,620,275.696432
4.357733	0.2041	3,443,389.835965
4.361133	0.204	3,381,598.327624
4.364535	0.2041	3,256,571.341516
4.367937	0.2041	3,220,318.562797
4.371337	0.204	3,241,563.354074
4.374738	0.2041	3,142,731.634615
4.378140	0.2041	3,210,789.674637
4.381540	0.204	3,213,182.123414
4.384942	0.2041	3,024,354.423981
4.388343	0.2041	3,061,699.560057
4.391743	0.204	3,127,070.782377
4.395145	0.2041	3,173,581.792363
4.398547	0.2041	3,243,178.139013
4.401947	0.204	3,251,288.783899
4.405348	0.2041	3,221,034.050254
4.408750	0.2041	3,256,201.794566
4.412150	0.204	3,312,361.248280
4.415552	0.2041	3,347,779.092266
4.418953	0.2041	3,365,836.116087
4.422353	0.204	3,295,846.369033
4.425755	0.2041	3,281,442.993190
4.429157	0.2041	3,227,856.463664
4.432557	0.204	3,245,113.039612
4.435958	0.2041	3,405,459.009065
4.439360	0.2041	3,409,894.832253
4.442760	0.204	3,277,293.242253
4.446162	0.2041	3,290,953.404533
4.449563	0.2041	3,452,682.270089
4.452963	0.204	3,447,015.911906
4.456365	0.2041	3,399,630.786196
4.459767	0.2041	3,426,296.868376
4.463167	0.204	3,422,127.430699
4.466568	0.2041	3,394,290.553961
4.469970	0.2041	3,477,199.430943
4.473372	0.2041	3,626,772.241690
4.476772	0.204	3,679,058.059581
4.480173	0.2041	3,636,492.642723
4.483575	0.2041	3,655,661.013988
4.486975	0.204	3,702,729.752949
4.490377	0.2041	3,709,688.512307
4.493778	0.2041	3,792,711.588407
4.497178	0.204	3,889,786.579941
4.500580	0.2041	3,917,234.277229
4.503982	0.2041	4,013,008.890096
4.507382	0.204	4,027,534.236037
4.510783	0.2041	3,978,405.279448
4.514185	0.2041	4,126,407.944140
4.517585	0.204	4,231,484.057533
4.520987	0.2041	4,291,548.831608
4.524388	0.2041	4,310,116.558520
4.527788	0.204	4,366,889.988254
4.531190	0.2041	4,587,547.156087
4.534592	0.2041	4,677,522.198737
4.537992	0.204	4,809,169.030034
4.541393	0.2041	4,945,282.258627
4.544795	0.2041	4,809,412.592463
4.548195	0.204	4,783,939.864288
4.551597	0.2041	4,850,645.016188
4.554998	0.2041	4,745,056.111469
4.558398	0.204	4,673,847.985008
4.561800	0.2041	4,666,436.339755
4.565202	0.2041	4,722,343.481393
4.568602	0.204	4,696,781.890653
4.572003	0.2041	4,497,974.211089
4.575405	0.2041	4,491,138.107661
4.578805	0.204	4,545,091.423706
4.582207	0.2041	4,449,491.528355
4.585608	0.2041	4,358,574.599485
4.589008	0.204	4,333,673.744545
4.592410	0.2041	4,367,510.368475
4.595812	0.2041	4,343,975.816556
4.599212	0.204	4,289,208.480533
4.602613	0.2041	4,306,037.544525
4.606015	0.2041	4,390,334.262376
4.609415	0.204	4,409,403.314566
4.612817	0.2041	4,427,115.038661
4.616218	0.2041	4,674,569.677453
4.619618	0.204	4,910,327.271031
4.623020	0.2041	4,865,876.287355
4.626422	0.2041	4,903,957.418306
4.629822	0.204	5,190,317.839263
4.633223	0.2041	5,413,247.062776
4.636625	0.2041	5,630,271.141715
4.640025	0.204	5,887,110.671487
4.643427	0.2041	6,048,763.193731
4.646828	0.2041	6,164,256.163477
4.650228	0.204	6,336,708.821803
4.653630	0.2041	6,399,068.070132
4.657032	0.2041	6,276,239.809913
4.660432	0.204	6,317,848.184560
4.663833	0.2041	6,411,944.431768
4.667235	0.2041	6,294,409.932840
4.670635	0.204	6,203,387.120378
4.674037	0.2041	6,077,166.150014
4.677438	0.2041	6,098,023.287611
4.680838	0.204	6,031,061.827848
4.684240	0.2041	5,799,539.523436
4.687642	0.2041	5,733,416.339308
4.691042	0.204	5,357,643.101723
4.694443	0.2041	5,049,355.056005
4.697845	0.2041	4,965,908.049070
4.701245	0.204	4,682,434.745765
4.704647	0.2041	4,558,700.064912
4.708048	0.2041	4,600,504.823004
4.711448	0.204	4,512,659.717859
4.714850	0.2041	4,389,260.449368
4.718252	0.2041	4,384,992.093948
4.721652	0.204	4,517,376.262050
4.725053	0.2041	4,449,523.608261
4.728455	0.2041	4,353,339.219465
4.731855	0.204	4,509,425.672634
4.735257	0.2041	4,667,776.022294
4.738658	0.2041	4,725,771.785525
4.742058	0.204	4,703,331.458676
4.745460	0.2041	4,719,950.349673
4.748862	0.2041	4,696,553.449642
4.752262	0.204	4,714,504.669189
4.755663	0.2041	4,982,204.011753
4.759065	0.2041	5,121,674.145154
4.762465	0.204	5,141,141.375530
4.765867	0.2041	5,403,353.599578
4.769268	0.2041	5,490,942.745648
4.772668	0.204	5,499,913.433785
4.776070	0.2041	5,614,699.877457
4.779472	0.2041	5,447,111.212192
4.782872	0.204	5,294,831.517798
4.786273	0.2041	5,264,467.803841
4.789675	0.2041	5,129,760.127773
4.793075	0.204	4,954,526.965436
4.796477	0.2041	4,781,708.810226
4.799878	0.2041	4,656,328.644421
4.803278	0.204	4,505,080.764375
4.806680	0.2041	4,399,043.526615
4.810082	0.2041	4,349,937.281140
4.813482	0.204	4,356,507.776481
4.816883	0.2041	4,350,610.032533
4.820285	0.2041	4,234,223.588061
4.823687	0.2041	4,301,396.422475
4.827087	0.204	4,336,755.521284
4.830488	0.2041	4,180,671.715229
4.833890	0.2041	4,260,432.476309
4.837290	0.204	4,387,671.966181
4.840692	0.2041	4,307,932.011295
4.844093	0.2041	4,295,629.887005
4.847493	0.204	4,385,751.557140
4.850895	0.2041	4,398,873.228712
4.854297	0.2041	4,304,550.813413
4.857697	0.204	4,154,303.558858
4.861098	0.2041	4,141,574.395948
4.864500	0.2041	4,242,051.894729
4.867900	0.204	4,164,862.861659
4.871302	0.2041	4,125,104.179640
4.874703	0.2041	4,187,284.194406
4.878103	0.204	4,112,145.722315
4.881505	0.2041	4,161,813.462930
4.884907	0.2041	4,156,503.326886
4.888307	0.204	4,039,964.837857
4.891708	0.2041	4,099,920.132492
4.895110	0.2041	4,170,591.410418
4.898510	0.204	4,109,818.016923
4.901912	0.2041	4,051,903.210088
4.905313	0.2041	4,147,352.243214
4.908713	0.204	4,074,983.548017
4.912115	0.2041	3,875,375.879989
4.915517	0.2041	3,841,210.537237
4.918917	0.204	3,968,199.523104
4.922318	0.2041	4,064,010.758162
4.925720	0.2041	4,090,865.251054
4.929120	0.204	4,067,309.369136
4.932522	0.2041	4,022,957.626988
4.935923	0.2041	4,104,738.762038
4.939323	0.204	4,045,817.806624
4.942725	0.2041	3,985,273.611877
4.946127	0.2041	4,014,275.141650
4.949527	0.204	4,044,679.420470
4.952928	0.2041	4,028,506.655059
