File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1127
Injection Number	41
Position	151
Comment	Terroson EP 6055 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	12:19:03 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000685
Time Max. (min)	59.999997
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,995,061.855691
Signal Max.	4,573,773,407.227210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.442758	0.204	3,624,277.091091
4.446160	0.2041	3,727,660.968798
4.449562	0.2041	3,727,001.697136
4.452962	0.204	3,641,943.271882
4.456363	0.2041	3,623,112.698153
4.459765	0.2041	3,735,811.098025
4.463165	0.204	3,792,298.390213
4.466567	0.2041	3,721,596.477428
4.469968	0.2041	3,834,330.015655
4.473368	0.204	3,990,884.166913
4.476770	0.2041	4,014,894.573827
4.480172	0.2041	4,015,901.352318
4.483572	0.204	3,980,402.481720
4.486973	0.2041	4,111,437.317881
4.490375	0.2041	4,261,196.381784
4.493775	0.204	4,231,916.016060
4.497177	0.2041	4,196,662.560327
4.500578	0.2041	4,215,498.100482
4.503978	0.204	4,286,552.274110
4.507380	0.2041	4,343,936.506561
4.510782	0.2041	4,487,092.866814
4.514182	0.204	4,577,361.570416
4.517583	0.2041	4,650,522.314138
4.520985	0.2041	4,768,893.546422
4.524385	0.204	4,686,996.216407
4.527787	0.2041	4,848,185.543294
4.531188	0.2041	4,970,410.755117
4.534588	0.204	4,847,926.624110
4.537990	0.2041	4,811,568.666515
4.541392	0.2041	4,819,599.011919
4.544792	0.204	4,967,412.427529
4.548193	0.2041	4,912,162.085700
4.551595	0.2041	4,902,184.243524
4.554995	0.204	5,019,255.369152
4.558397	0.2041	4,910,756.945189
4.561798	0.2041	4,885,540.028692
4.565198	0.204	4,904,604.846326
4.568600	0.2041	4,845,188.045547
4.572002	0.2041	4,842,633.550286
4.575402	0.204	4,734,936.822002
4.578803	0.2041	4,650,079.619952
4.582205	0.2041	4,716,262.576334
4.585605	0.204	4,706,193.524581
4.589007	0.2041	4,617,703.373672
4.592408	0.2041	4,470,971.906861
4.595808	0.204	4,437,843.588531
4.599210	0.2041	4,566,353.812218
4.602612	0.2041	4,627,550.303431
4.606012	0.204	4,596,265.316258
4.609413	0.2041	4,626,451.960792
4.612815	0.2041	4,633,904.089755
4.616215	0.204	4,623,971.274739
4.619617	0.2041	4,669,405.257684
4.623018	0.2041	4,840,529.134139
4.626418	0.204	5,028,261.061376
4.629820	0.2041	5,126,880.998292
4.633222	0.2041	5,266,749.547206
4.636622	0.204	5,492,392.213015
4.640023	0.2041	5,645,351.067980
4.643425	0.2041	5,613,769.851645
4.646825	0.204	5,560,847.815915
4.650227	0.2041	5,627,440.061244
4.653628	0.2041	5,677,881.742938
4.657028	0.204	5,587,934.307926
4.660430	0.2041	5,643,739.924451
4.663832	0.2041	5,860,392.190989
4.667232	0.204	5,798,155.284138
4.670633	0.2041	5,579,865.211550
4.674035	0.2041	5,560,690.772277
4.677435	0.204	5,462,132.031547
4.680837	0.2041	5,354,976.705229
4.684238	0.2041	5,357,786.241754
4.687638	0.204	5,096,907.789786
4.691040	0.2041	4,874,682.691986
4.694442	0.2041	4,880,743.035299
4.697842	0.204	4,795,182.601730
4.701243	0.2041	4,759,253.283636
4.704645	0.2041	4,710,513.820157
4.708045	0.204	4,526,715.305466
4.711447	0.2041	4,602,579.300397
4.714848	0.2041	4,715,936.750314
4.718250	0.2041	4,734,411.434081
4.721650	0.204	4,849,569.208295
4.725052	0.2041	4,881,125.531816
4.728453	0.2041	4,871,627.998505
4.731853	0.204	4,742,547.587777
4.735255	0.2041	4,700,689.543971
4.738657	0.2041	4,910,249.606967
4.742057	0.204	4,865,801.007456
4.745458	0.2041	4,778,679.427357
4.748860	0.2041	4,866,539.622898
4.752260	0.204	4,964,538.699778
4.755662	0.2041	4,985,777.483461
4.759063	0.2041	5,029,212.328953
4.762463	0.204	5,264,895.808957
4.765865	0.2041	5,354,468.675044
4.769267	0.2041	5,372,483.277418
4.772667	0.204	5,484,653.994276
4.776068	0.2041	5,397,642.131113
4.779470	0.2041	5,195,151.753237
4.782870	0.204	5,192,128.821050
4.786272	0.2041	5,170,227.765734
4.789673	0.2041	4,972,607.566425
4.793073	0.204	4,899,200.686693
4.796475	0.2041	4,913,366.477217
4.799877	0.2041	4,739,667.240385
4.803277	0.204	4,648,360.939613
4.806678	0.2041	4,651,533.869719
4.810080	0.2041	4,484,033.754132
4.813480	0.204	4,438,762.959747
4.816882	0.2041	4,542,641.883969
4.820283	0.2041	4,519,700.479607
4.823683	0.204	4,476,266.053487
4.827085	0.2041	4,565,917.062626
4.830487	0.2041	4,523,986.122121
4.833887	0.204	4,481,257.579750
4.837288	0.2041	4,634,776.781055
4.840690	0.2041	4,723,202.463650
4.844090	0.204	4,666,699.264498
4.847492	0.2041	4,683,949.427533
4.850893	0.2041	4,598,507.767426
4.854293	0.204	4,437,473.693521
4.857695	0.2041	4,491,267.174195
4.861097	0.2041	4,453,016.462524
4.864497	0.204	4,364,114.134011
4.867898	0.2041	4,315,728.816565
4.871300	0.2041	4,419,500.029182
4.874700	0.204	4,579,931.033173
4.878102	0.2041	4,349,112.459306
4.881503	0.2041	4,302,295.441018
4.884903	0.204	4,421,830.454779
4.888305	0.2041	4,298,805.520083
4.891707	0.2041	4,264,419.302665
4.895107	0.204	4,361,466.466980
4.898508	0.2041	4,236,678.318295
4.901910	0.2041	4,132,464.019307
4.905310	0.204	4,262,536.617647
4.908712	0.2041	4,176,556.480154
4.912113	0.2041	4,170,393.439195
4.915513	0.204	4,260,515.752047
4.918915	0.2041	4,299,181.938818
4.922317	0.2041	4,336,778.603080
4.925717	0.204	4,372,084.960819
4.929118	0.2041	4,408,827.582001
4.932520	0.2041	4,363,954.759999
4.935920	0.204	4,304,999.150820
4.939322	0.2041	4,224,500.186669
4.942723	0.2041	4,351,786.945342
4.946123	0.204	4,423,847.523636
4.949525	0.2041	4,373,228.118917
4.952927	0.2041	4,333,220.196803
4.956327	0.204	4,343,547.877708
4.959728	0.2041	4,540,131.116947
4.963130	0.2041	4,628,472.298160
4.966530	0.204	4,486,313.678866
4.969932	0.2041	4,500,563.359302
4.973333	0.2041	4,645,068.734830
4.976733	0.204	4,636,110.725593
4.980135	0.2041	4,694,474.776387
4.983537	0.2041	4,696,052.755741
4.986937	0.204	4,841,501.282333
4.990338	0.2041	4,942,234.061107
4.993740	0.2041	4,687,989.792902
4.997140	0.204	4,660,337.018092
5.000542	0.2041	4,651,825.975074
5.003943	0.2041	4,566,208.337475
5.007343	0.204	4,554,570.478128
5.010745	0.2041	4,313,074.303431
5.014147	0.2041	4,348,561.513215
5.017547	0.204	4,556,966.529213
5.020948	0.2041	4,359,555.263931
5.024350	0.2041	4,220,541.759466
5.027750	0.204	4,292,824.913426
5.031152	0.2041	4,346,194.631332
5.034553	0.2041	4,339,641.680974
5.037953	0.204	4,351,026.460075
5.041355	0.2041	4,370,313.640263
5.044757	0.2041	4,341,156.920483
5.048157	0.204	4,398,709.842643
5.051558	0.2041	4,396,595.681228
5.054960	0.2041	4,414,175.008653
5.058360	0.204	4,397,813.984853
5.061762	0.2041	4,312,706.582569
5.065163	0.2041	4,459,289.100357
5.068565	0.2041	4,420,469.559064
5.071965	0.204	4,337,012.885878
